region_id,zipcode,median,latitude,longitude
96633,92083,366800,33.196465,-117.246793
96666,92124,545000,32.821491,-117.084136
96631,92081,466600,33.162911,-117.24768
96680,92139,341000,32.680145,-117.047087
96983,92673,806300,33.456812,-117.593804
96584,92011,767800,33.107974,-117.296919
96661,92119,487000,32.814853,-117.036059
96555,91932,382600,32.571482,-117.117419
96550,91915,453700,32.620222,-116.948912
96660,92118,1424100,32.645759,-117.160716
96563,91945,348000,32.732727,-117.037943
96648,92106,925700,32.707628,-117.233877
96707,92173,327700,32.55446,-117.043858
96598,92029,630500,33.088019,-117.135414
96632,92082,503200,33.25544,-116.996417
96586,92014,1606500,32.966238,-117.242843
96628,92075,1172600,32.995092,-117.257936
96538,91901,487200,32.82767,-116.718685
96583,92010,560600,33.155305,-117.279802
96539,91902,529400,32.673579,-117.01119
96580,92007,860900,33.021568,-117.272111
96549,91914,609900,32.679547,-116.949841
96621,92067,2737100,33.017985,-117.186008
96683,92143,0,32.555548,-117.053566
96547,91912,0,32.62547,-117.074586
96558,91935,602900,32.682498,-116.801252
96573,91978,414200,32.719179,-116.936853
96578,92003,578600,33.285414,-117.205931
96579,92004,229600,33.143271,-116.090835
96601,92036,293500,32.992717,-116.423151
96663,92121,515300,32.906105,-117.198763
96635,92085,0,33.221774,-117.226056
96654,92112,0,32.713925,-117.163717
96689,92153,0,32.574659,-117.069796
96679,92138,0,32.748487,-117.204367
96592,92023,0,33.060208,-117.265791
96687,92150,0,32.981623,-117.083028
96542,91906,227300,32.672005,-116.482683
96575,91980,0,32.590399,-116.617829
96568,91951,0,32.670909,-117.096922
96697,92163,0,32.749643,-117.150813
96587,92018,0,33.162862,-117.34913
96609,92052,0,33.195078,-117.378631
96712,92178,0,32.684004,-117.177921
96617,92061,480700,33.31765,-116.952524
96603,92038,0,32.847099,-117.272789
96630,92079,0,33.145024,-117.162552
96720,92192,0,32.851153,-117.215282
96637,92088,0,33.376151,-117.253678
96724,92196,0,32.916134,-117.129812
96703,92169,0,32.799063,-117.252421
96553,91921,0,32.653499,-116.967748
96606,92046,0,33.124872,-117.102779
96626,92072,0,32.838738,-116.990876
96540,91903,0,32.84,-116.77
96726,92198,0,33.022142,-117.074532
96569,91962,305100,32.795671,-116.471843
96608,92051,0,33.195078,-117.378631
96551,91916,354200,32.90087,-116.607304
96708,92174,0,32.709999,-117.08
96600,92033,0,33.123251,-117.086984
96599,92030,0,33.135717,-117.055823
96704,92170,0,32.696921,-117.134332
96591,92022,0,32.792115,-116.966963
96544,91909,0,32.62547,-117.074586
96639,92091,2041100,33.0179,-117.193635
96723,92195,0,32.764997,-117.060625
96556,91933,0,32.582573,-117.113479
96636,92086,0,33.265203,-116.643545
96541,91905,0,32.720188,-116.302828
96574,91979,0,32.731635,-116.972316
96699,92165,0,32.749589,-117.10462
96562,91944,0,32.766098,-117.023748
96705,92171,0,32.783009,-117.170794
96702,92168,0,32.783011,-117.170795
96710,92176,0,32.763417,-117.123093
96711,92177,0,32.824176,-117.231555
96706,92172,0,32.956962,-117.128038
96700,92166,0,32.721014,-117.231177
96627,92074,0,32.957248,-117.036672
96543,91908,0,32.66924,-117.021214
96624,92070,0,33.188818,-116.733001
96721,92193,0,32.801589,-117.140046
96701,92167,0,32.745884,-117.247485
96564,91946,0,32.742801,-117.027807
96694,92160,0,32.782587,-117.091966
96585,92013,0,33.102279,-117.271534
96709,92175,0,32.764997,-117.060625
96570,91963,0,32.648926,-116.608693
96693,92159,0,32.801099,-117.013777
96604,92039,0,32.847099,-117.272789
96678,92137,0,32.748487,-117.204367
96607,92049,0,33.195078,-117.378631
96622,92068,0,33.29,-117.31
96615,92059,0,33.386987,-117.076377
96682,92142,0,32.839404,-117.097723
96719,92191,0,32.903497,-117.219618
96552,91917,0,32.614592,-116.725088
96557,91934,0,32.7114,-116.140144
96571,91976,0,32.74,-117.0
96686,92149,0,32.675853,-117.064977
96561,91943,0,32.77,-117.02
96684,92145,0,32.888588,-117.128779
96554,91931,0,32.829648,-116.565253
96616,92060,0,33.333507,-116.847733
96620,92066,0,33.231543,-116.478672
96566,91948,0,32.868798,-116.412437
96681,92140,0,32.740175,-117.195654
96577,91990,0,32.604899,-116.612299
96576,91987,0,32.584039,-116.633326
96611,92055,0,33.377821,-117.428535
96565,91947,0,32.67,-117.069999
96638,92090,0,32.794899,-116.9614
96640,92092,0,32.876639,-117.233018
96641,92093,0,32.87363,-117.238295
96642,92096,0,33.126654,-117.155074
96673,92132,0,32.71514,-117.172086
96674,92133,0,32.733675,-117.215762
96675,92134,0,32.723523,-117.146914
96676,92135,0,32.69742,-117.208169
96677,92136,0,32.684403,-117.123911
96685,92147,0,32.723755,-117.219771
96688,92152,0,32.708747,-117.247758
96691,92155,0,32.677346,-117.15844
96692,92158,0,32.573097,-116.919191
96695,92161,0,32.871741,-117.233914
96696,92162,0,32.719999,-117.14
96698,92164,0,32.75,-117.13
96713,92179,0,32.569999,-116.97
96714,92182,0,32.775953,-117.071977
96715,92184,0,32.719999,-117.16
96716,92186,0,32.75,-117.2
96717,92187,0,32.718009,-117.163905
96718,92190,0,32.779999,-117.09
96722,92194,0,32.799999,-117.14
96725,92197,0,32.972456,-117.09177
96727,92199,0,32.981591,-117.082897
