bathrooms,bedrooms,city,finishedSqFt,id,image,latitude,longitude,lotSizeSqFt,numFloors,numRooms,parkingType,price,school,state,street,useCode,yearBuilt,zipcode,zpid
6.0,5,CORONADO,4061,70,https://photos.zillowstatic.com/p_d/ISi75ka3fyrazd0000000000.jpg,32.696305,-117.186544,12632,2,,Garage - Attached,3796083,Coronado High School,CA,550 Country Club Ln,SingleFamily,2012,92118,17070300
2.5,3,CORONADO,1850,71,https://photos.zillowstatic.com/p_d/IS2bpt4hj9d7ob0000000000.jpg,32.697401,-117.185143,10890,,,,2272531,Coronado High School,CA,461 Country Club Ln,SingleFamily,1953,92118,17070307
3.0,4,CORONADO,2122,72,,32.697449,-117.183815,3500,2,8,Garage - Detached,1610647,Coronado High School,CA,437 Alameda Blvd,SingleFamily,1970,92118,17070354
2.0,3,Encinitas,1665,73,https://photos.zillowstatic.com/p_d/ISy7o30gim2glo0000000000.jpg,33.041807,-117.270362,8276,1,8,Garage - Attached,983728,San Dieguito High Academy,CA,908 Avenida De San Clemente,SingleFamily,1961,92024,16719597
3.0,3,ENCINITAS,1663,74,https://photos.zillowstatic.com/p_d/IS6qjyh9fy50l71000000000.jpg,33.040005,-117.279513,4356,,,Garage - Attached,989185,San Dieguito High Academy,CA,940 Gardena Rd,SingleFamily,1990,92024,16718747
3.0,4,ENCINITAS,2012,75,https://photos.zillowstatic.com/p_d/IS66ootsse4xff0000000000.jpg,33.038998,-117.278549,9300,2,8,"Garage - Detached, Off-street",1383922,San Dieguito High Academy,CA,1044 Arcadia Rd,SingleFamily,2015,92024,16718880
2.0,4,ENCINITAS,2066,76,https://photos.zillowstatic.com/p_d/ISeo3j01ssn17g1000000000.jpg,33.039081,-117.268058,10890,1,8,,1027468,San Dieguito High Academy,CA,1011 Monterey Vista Way,SingleFamily,1987,92024,16719529
2.0,3,ENCINITAS,1196,77,https://photos.zillowstatic.com/p_d/ISe0lo5ms2q4ej0000000000.jpg,33.041141,-117.269759,7200,1,,"Garage - Attached, Off-street, On-street",1188268,San Dieguito High Academy,CA,933 Avenida De San Clemente,SingleFamily,1960,92024,16719636
2.0,4,ENCINITAS,1950,78,https://photos.zillowstatic.com/p_d/ISqdvyq013fvtd0000000000.jpg,33.040064,-117.269341,7200,1,9,"Garage - Attached, Off-street",979995,San Dieguito High Academy,CA,1058 Melba Rd,SingleFamily,1961,92024,16719653
2.5,3,ENCINITAS,2064,79,https://photos.zillowstatic.com/p_d/ISug8ebwrz6cp21000000000.jpg,33.041775,-117.263658,12196,1,,,1181485,San Dieguito High Academy,CA,252 Witham Rd,SingleFamily,1964,92024,16719698
2.0,4,ENCINITAS,1640,80,https://photos.zillowstatic.com/p_d/ISly49c85c6b8a1000000000.jpg,33.041421,-117.264516,10800,1,7,Garage - Attached,1048937,San Dieguito High Academy,CA,1218 Ahlrich Ave,SingleFamily,1969,92024,16719701
3.0,4,ENCINITAS,2440,81,https://photos.zillowstatic.com/p_d/ISi7l0ygn6uukf0000000000.jpg,33.041005,-117.263181,10890,1,,"Garage - Attached, Carport",1277899,San Dieguito High Academy,CA,1310 Ahlrich Ave,SingleFamily,1971,92024,16719707
2.0,3,ENCINITAS,1821,82,https://photos.zillowstatic.com/p_d/ISe0t69rzcnbys1000000000.jpg,33.041643,-117.26268,10890,1,,,986796,San Dieguito High Academy,CA,825 Crest Dr,SingleFamily,1964,92024,16719710
3.0,4,ENCINITAS,2818,83,https://photos.zillowstatic.com/p_d/IS2zzd2hq1s1ko0000000000.jpg,33.039287,-117.263083,15681,1,8,Garage - Attached,1377432,San Dieguito High Academy,CA,946 Doris Dr,SingleFamily,1984,92024,16719734
2.0,2,Encinitas,1364,84,https://photos.zillowstatic.com/p_d/ISyvmeutyynjlk1000000000.jpg,33.037273,-117.271246,21780,1,4,,1169432,San Dieguito High Academy,CA,1146 Evergreen Dr,SingleFamily,1964,92024,16720422
2.0,4,ENCINITAS,1983,85,https://photos.zillowstatic.com/p_d/IS2vkz9wsn2tg60000000000.jpg,33.040751,-117.258093,10890,1,12,Off-street,1136302,San Dieguito High Academy,CA,1429 Peartree Ct,SingleFamily,1974,92024,16721330
2.0,3,ENCINITAS,1633,86,https://photos.zillowstatic.com/p_d/ISin9qy6lnq0bd0000000000.jpg,33.043075,-117.258943,10890,,,,900673,San Dieguito High Academy,CA,664 Crest Dr,SingleFamily,1974,92024,16721375
2.0,3,Cardiff,1268,87,https://photos.zillowstatic.com/p_d/IS19kvv2yik0dyb.jpg,33.032763,-117.275683,7000,,,,883329,San Dieguito High Academy,CA,753 Ocean Crest Rd,SingleFamily,1957,92007,16722324
2.0,3,Cardiff,1537,88,https://photos.zillowstatic.com/p_d/ISyfyskbwrr4990000000000.jpg,33.034329,-117.272631,8102,1,9,Garage - Attached,1296010,San Dieguito High Academy,CA,1313 Windsor Rd,SingleFamily,1976,92007,16722379
2.0,3,Cardiff,1538,89,https://photos.zillowstatic.com/p_d/ISqhizt6en9tib0000000000.jpg,33.027558,-117.268751,7501,1,,,1023670,San Dieguito High Academy,CA,1631 Freda Ln,SingleFamily,1961,92007,16723154
2.0,3,Cardiff,1326,90,https://photos.zillowstatic.com/p_d/ISmywqofaecxzp1000000000.jpg,33.028453,-117.272512,7501,1,,"Garage - Attached, Off-street, On-street",913305,San Dieguito High Academy,CA,909 Nolbey St,SingleFamily,1961,92007,16723298
2.0,3,Cardiff,1326,91,https://photos.zillowstatic.com/p_d/ISiv3j3c9t1u151000000000.jpg,33.028472,-117.272035,7501,1,9,Garage - Attached,940948,San Dieguito High Academy,CA,923 Nolbey St,SingleFamily,1961,92007,16723300
2.0,4,EL CAJON,1523,92,https://photos.zillowstatic.com/p_d/ISa1v5dpyaq5kx0000000000.jpg,32.800178,-116.990617,7501,1,7,Garage - Attached,602789,Grossmont Middle College High School,CA,1976 Willis Rd,SingleFamily,1958,92020,17018772
2.0,3,EL CAJON,1544,93,https://photos.zillowstatic.com/p_d/IS2fcyiibsm69s0000000000.jpg,32.791533,-116.988016,10890,1,,Garage - Attached,597893,Grossmont Middle College High School,CA,370 Cottonpatch Way,SingleFamily,1962,92020,17023612
3.0,3,EL CAJON,3300,94,,32.793052,-116.98601,13700,1,9,"Garage - Attached, Off-street",838276,Grossmont Middle College High School,CA,287 Hihill Way,SingleFamily,1963,92020,17023618
2.0,4,EL CAJON,1794,95,https://photos.zillowstatic.com/p_d/ISizm4c96ubcmt1000000000.jpg,32.793546,-116.987006,10890,1,,"Garage - Attached, Off-street, On-street",602489,Grossmont Middle College High School,CA,208 Cottonpatch Way,SingleFamily,1965,92020,17023633
3.0,4,EL CAJON,2240,96,,32.797162,-116.993219,10018,2,7,Garage - Attached,641323,Grossmont Middle College High School,CA,2057 Dryden Rd,SingleFamily,1964,92020,17023659
3.0,3,EL CAJON,1748,97,https://photos.zillowstatic.com/p_d/IS6y9oduxbgj2v1000000000.jpg,32.795208,-116.990635,10890,1,6,"Garage - Attached, Off-street, On-street",617082,Grossmont Middle College High School,CA,1993 Wedgemere Rd,SingleFamily,1955,92020,17023773
